OMRÅDE;CIVILSTAND;TID;INDHOLD
Hele landet;Fraskilt;2008K1;428864
Hele landet;Fraskilt;2008K2;431550
Hele landet;Fraskilt;2008K3;432713
Hele landet;Fraskilt;2008K4;432156
Hele landet;Fraskilt;2009K1;434233
Hele landet;Fraskilt;2009K2;437466
Hele landet;Fraskilt;2009K3;439378
Hele landet;Fraskilt;2009K4;439428
Hele landet;Fraskilt;2010K1;441913
Hele landet;Fraskilt;2010K2;444765
Hele landet;Fraskilt;2010K3;446333
Hele landet;Fraskilt;2010K4;447258
Hele landet;Fraskilt;2011K1;449609
Hele landet;Fraskilt;2011K2;453640
Hele landet;Fraskilt;2011K3;455105
Hele landet;Fraskilt;2011K4;455846
Hele landet;Fraskilt;2012K1;458430
Hele landet;Fraskilt;2012K2;462738
Hele landet;Fraskilt;2012K3;465210
Hele landet;Fraskilt;2012K4;466356
Hele landet;Fraskilt;2013K1;468891
Hele landet;Fraskilt;2013K2;473292
Hele landet;Fraskilt;2013K3;476507
Hele landet;Fraskilt;2013K4;477056
Hele landet;Fraskilt;2014K1;486336
Hele landet;Fraskilt;2014K2;492909
Hele landet;Fraskilt;2014K3;497069
Hele landet;Fraskilt;2014K4;500795
Hele landet;Fraskilt;2015K1;504505
Hele landet;Fraskilt;2015K2;506621
Hele landet;Fraskilt;2015K3;509922
Hele landet;Fraskilt;2015K4;513060
Hele landet;Fraskilt;2016K1;516864
Hele landet;Fraskilt;2016K2;520775
Hele landet;Fraskilt;2016K3;525180
Hele landet;Fraskilt;2016K4;526340
Hele landet;Fraskilt;2017K1;529457
Hele landet;Fraskilt;2017K2;533905
Hele landet;Fraskilt;2017K3;534656
Hele landet;Fraskilt;2017K4;535372
Hele landet;Fraskilt;2018K1;537834
Hele landet;Fraskilt;2018K2;541010
Hele landet;Fraskilt;2018K3;541999
Hele landet;Fraskilt;2018K4;542280
Hele landet;Fraskilt;2019K1;545085
Hele landet;Fraskilt;2019K2;545597
Hele landet;Fraskilt;2019K3;544731
Hele landet;Fraskilt;2019K4;543846
Hele landet;Fraskilt;2020K1;544588
